frame,time_seconds,log_energy,centroid_hz,bandwidth_hz,cepstrum_0,cepstrum_1,cepstrum_2,cepstrum_3,cepstrum_4,cepstrum_5,cepstrum_6,cepstrum_7,cepstrum_8,cepstrum_9,cepstrum_10,cepstrum_11,cepstrum_12,cepstrum_13,cepstrum_14,cepstrum_15,cepstrum_16,cepstrum_17,cepstrum_18,cepstrum_19
66,0.132000,6.348376,1372.154,1330.692,-12.032888,12.243740,-5.802323,5.270773,2.070557,10.455583,-4.265217,3.561177,-0.778913,8.468172,-0.969682,3.987506,-0.760594,4.011631,-2.848465,4.190611,0.364781,2.995898,-2.204184,3.427956
67,0.134000,6.297265,1358.263,1313.362,-11.856010,12.538766,-5.470722,5.216921,2.105544,10.144703,-4.300416,3.468737,-0.919390,8.706810,-0.593216,3.991929,-0.895565,3.895813,-2.958802,4.127803,0.230205,2.863528,-2.278477,3.401075
68,0.136000,6.232740,1358.814,1311.377,-11.625487,12.839453,-5.223009,5.123414,2.094944,9.849360,-4.287504,3.427966,-1.018026,8.889513,-0.328120,3.930733,-0.939170,3.874467,-3.038603,4.032449,0.045202,2.766741,-2.341368,3.393726
69,0.138000,6.155307,1377.243,1328.439,-11.350120,13.128925,-5.095640,4.985285,2.014050,9.606726,-4.203532,3.462260,-1.055718,8.986081,-0.213407,3.796448,-0.888661,3.926705,-3.091672,3.892421,-0.199715,2.705415,-2.386537,3.404702
70,0.140000,6.067742,1415.330,1364.875,-11.077589,13.380302,-5.088784,4.836313,1.886052,9.439095,-4.068345,3.553265,-1.029179,8.995985,-0.240101,3.605939,-0.768317,4.011350,-3.137662,3.710983,-0.484274,2.676784,-2.425768,3.412761
71,0.142000,5.975740,1472.494,1416.947,-10.867947,13.564408,-5.191054,4.715652,1.757290,9.352434,-3.920958,3.673145,-0.939350,8.936472,-0.369900,3.394719,-0.603317,4.100696,-3.200081,3.500450,-0.767243,2.678852,-2.477244,3.390297
72,0.144000,5.887281,1544.606,1477.216,-10.763588,13.662512,-5.388188,4.640304,1.664893,9.339039,-3.793291,3.805059,-0.794451,8.824192,-0.561753,3.198832,-0.414343,4.192524,-3.289916,3.271841,-1.013350,2.705266,-2.558102,3.316037
73,0.146000,5.810401,1623.225,1536.368,-10.790385,13.663334,-5.653724,4.602171,1.619411,9.383625,-3.694516,3.941379,-0.621381,8.677898,-0.770825,3.050817,-0.225020,4.297869,-3.393206,3.037761,-1.210249,2.747432,-2.675444,3.174574
74,0.148000,5.750248,1697.374,1586.524,-10.952651,13.565503,-5.946522,4.580400,1.613508,9.467638,-3.621750,4.070359,-0.461729,8.521851,-0.959480,2.969804,-0.064284,4.422608,-3.485623,2.812869,-1.359412,2.805790,-2.818732,2.964524
75,0.150000,5.706862,1757.976,1624.071,-11.217262,13.394103,-6.213026,4.557108,1.635846,9.573859,-3.572977,4.174193,-0.348513,8.383234,-1.110388,2.949409,0.039010,4.561325,-3.549732,2.608558,-1.464496,2.890579,-2.964967,2.704922
76,0.152000,5.674873,1801.357,1649.848,-11.515620,13.209713,-6.392308,4.528790,1.669180,9.686661,-3.547595,4.236049,-0.292450,8.285089,-1.226563,2.955866,0.060143,4.698229,-3.573848,2.433992,-1.525220,3.019196,-3.082029,2.437889
77,0.154000,5.646010,1829.306,1667.257,-11.776314,13.077960,-6.449064,4.492502,1.675321,9.782759,-3.540657,4.254266,-0.275876,8.249388,-1.311519,2.954257,-0.004519,4.818657,-3.542626,2.302380,-1.537347,3.199739,-3.147951,2.208228
78,0.156000,5.612797,1846.911,1680.291,-11.944838,13.050686,-6.386358,4.447662,1.610053,9.828255,-3.550344,4.230550,-0.281101,8.278499,-1.378351,2.912244,-0.145142,4.904343,-3.448997,2.224460,-1.501888,3.419134,-3.159464,2.048084
79,0.158000,5.571355,1860.528,1692.470,-12.014212,13.127279,-6.257995,4.393813,1.451051,9.789752,-3.583124,4.165752,-0.301912,8.361425,-1.426931,2.834050,-0.315388,4.952143,-3.300720,2.205674,-1.426733,3.641781,-3.133159,1.956896
80,0.160000,5.522842,1875.545,1705.843,-12.013799,13.266103,-6.142640,4.335511,1.223412,9.657690,-3.647599,4.065094,-0.341636,8.468844,-1.454486,2.745626,-0.456501,4.966860,-3.125076,2.242985,-1.313394,3.837419,-3.072858,1.931826
81,0.162000,5.473132,1895.075,1720.509,-11.984913,13.411047,-6.114321,4.272076,0.982649,9.456738,-3.736356,3.960415,-0.381166,8.572142,-1.460693,2.673795,-0.528093,4.954265,-2.955048,2.322875,-1.160838,3.978021,-2.987552,1.964582
82,0.164000,5.430613,1919.534,1734.935,-11.946497,13.541727,-6.184239,4.221538,0.792614,9.236225,-3.832696,3.883549,-0.398217,8.636887,-1.462224,2.617470,-0.536505,4.908155,-2.824323,2.414802,-0.976608,4.043591,-2.890212,2.045873
83,0.166000,5.401617,1947.626,1747.404,-11.913595,13.648588,-6.321765,4.201021,0.689198,9.047469,-3.910769,3.858274,-0.368792,8.657351,-1.450988,2.580873,-0.501585,4.833649,-2.749259,2.480797,-0.786096,4.014833,-2.812636,2.135109
84,0.168000,5.386889,1978.113,1757.444,-11.887615,13.736189,-6.474314,4.221196,0.679858,8.932400,-3.948242,3.882473,-0.300116,8.636694,-1.417142,2.562593,-0.456231,4.732100,-2.738562,2.484565,-0.623960,3.887719,-2.782354,2.188828
85,0.170000,5.382797,2009.266,1765.281,-11.865337,13.803741,-6.603395,4.273630,0.749469,8.911419,-3.938662,3.935188,-0.224296,8.587831,-1.355775,2.570861,-0.415448,4.611793,-2.782191,2.416975,-0.508987,3.690365,-2.799459,2.193198
86,0.172000,5.385321,2037.008,1770.416,-11.835602,13.854057,-6.683954,4.345902,0.879213,8.988321,-3.890982,3.991139,-0.179562,8.532551,-1.271765,2.621192,-0.375178,4.484962,-2.860948,2.295432,-0.447381,3.466434,-2.843261,2.162998
87,0.174000,5.392862,2053.773,1770.966,-11.766548,13.910585,-6.677203,4.440594,1.058219,9.142389,-3.830374,4.000803,-0.215542,8.460925,-1.202905,2.693244,-0.349513,4.338799,-2.968867,2.141505,-0.436870,3.262742,-2.865746,2.140819
88,0.176000,5.406071,2050.523,1764.409,-11.627726,13.941132,-6.543501,4.522885,1.288584,9.304646,-3.755075,3.890613,-0.329286,8.336311,-1.147802,2.745915,-0.322354,4.142169,-3.080947,1.959161,-0.455260,3.091809,-2.818823,2.133232
89,0.178000,5.426413,2020.881,1748.563,-11.392673,13.859856,-6.238026,4.524643,1.598052,9.383096,-3.612025,3.594901,-0.437403,8.114432,-1.043644,2.730318,-0.234682,3.862297,-3.135081,1.734224,-0.459152,2.928138,-2.671605,2.092730
90,0.180000,5.454307,1965.028,1722.515,-11.118861,13.675644,-5.826526,4.473540,1.920933,9.396725,-3.418020,3.184637,-0.501748,7.853975,-0.893056,2.680562,-0.099087,3.554780,-3.119025,1.527884,-0.455615,2.788805,-2.467428,1.993702
91,0.182000,5.486772,1891.455,1688.073,-10.878960,13.478600,-5.407859,4.452543,2.163200,9.423794,-3.228663,2.794982,-0.532678,7.641068,-0.768134,2.641227,0.001859,3.285222,-3.074153,1.436074,-0.476565,2.708088,-2.281600,1.845769
92,0.184000,5.516452,1814.395,1650.912,-10.690300,13.269747,-5.001381,4.461259,2.341681,9.463654,-3.036469,2.466165,-0.501174,7.476718,-0.674756,2.603896,0.053678,3.036972,-3.018726,1.480863,-0.509832,2.667674,-2.130201,1.656756
93,0.186000,5.533560,1748.033,1619.456,-10.558638,13.016792,-4.614394,4.475027,2.510803,9.487289,-2.836774,2.189179,-0.393735,7.333055,-0.592019,2.565453,0.072035,2.764157,-2.982277,1.634210,-0.535161,2.641869,-1.988876,1.460381
94,0.188000,5.529103,1703.363,1602.679,-10.474785,12.705296,-4.275241,4.458773,2.693587,9.458117,-2.642930,1.964519,-0.204819,7.195414,-0.502850,2.523524,0.066391,2.432335,-2.994484,1.854620,-0.524956,2.619228,-1.831124,1.289141
95,0.190000,5.497568,1688.197,1608.033,-10.418888,12.349117,-4.024599,4.389898,2.878491,9.355088,-2.480528,1.807318,0.055623,7.067604,-0.400780,2.469079,0.034333,2.039549,-3.083218,2.084548,-0.455834,2.606637,-1.646983,1.160013
96,0.192000,5.438572,1708.251,1639.491,-10.367188,11.978561,-3.893292,4.265310,3.046658,9.185047,-2.370173,1.729787,0.357147,6.955792,-0.288782,2.387861,-0.027406,1.620013,-3.261785,2.258878,-0.326982,2.613333,-1.451763,1.076786
