frame,time_seconds,log_energy,centroid_hz,bandwidth_hz,cepstrum_0,cepstrum_1,cepstrum_2,cepstrum_3,cepstrum_4,cepstrum_5,cepstrum_6,cepstrum_7,cepstrum_8,cepstrum_9,cepstrum_10,cepstrum_11,cepstrum_12,cepstrum_13,cepstrum_14,cepstrum_15,cepstrum_16,cepstrum_17,cepstrum_18,cepstrum_19
87,0.174000,2.112264,3794.793,2362.547,-29.022022,8.878965,-3.872155,1.453519,5.094640,-2.944230,-4.019063,1.333134,-0.957765,-2.138604,0.664493,-0.509889,-1.732056,0.493233,0.815694,0.197823,-0.266516,-0.634050,-1.080324,-0.155218
88,0.176000,2.100703,3775.298,2391.622,-29.097515,8.873018,-3.770897,1.624271,4.936368,-3.221992,-3.953316,1.483900,-1.322678,-2.550502,0.619582,-0.451255,-1.566883,0.544365,0.678749,-0.090110,-0.371321,-0.945324,-1.437888,-0.306396
89,0.178000,2.081103,3700.093,2430.122,-29.145206,8.920526,-3.522152,1.864686,4.719426,-3.362694,-3.685693,1.730780,-1.607241,-2.855313,0.672536,-0.264596,-1.239679,0.562702,0.437385,-0.340685,-0.285744,-1.056015,-1.722593,-0.414333
90,0.180000,2.055487,3580.282,2467.536,-29.175791,9.006306,-3.148065,2.158316,4.428609,-3.444052,-3.304410,2.024186,-1.767087,-2.985189,0.771539,-0.046387,-0.792884,0.537767,0.081890,-0.538311,-0.063119,-0.985561,-1.881967,-0.492077
91,0.182000,2.026618,3430.677,2493.732,-29.181868,9.105039,-2.742008,2.445608,4.064280,-3.516419,-2.906612,2.243880,-1.822105,-2.885273,0.856248,0.075584,-0.309492,0.456794,-0.366843,-0.680020,0.183566,-0.825331,-1.900493,-0.565980
92,0.184000,1.996283,3270.028,2502.414,-29.128378,9.225367,-2.432377,2.613206,3.706236,-3.489149,-2.551487,2.246249,-1.830485,-2.497286,0.953123,0.020066,0.079735,0.342045,-0.776406,-0.722521,0.351349,-0.687541,-1.771459,-0.593247
93,0.186000,1.965299,3116.403,2492.983,-29.015537,9.388814,-2.278980,2.566565,3.432969,-3.249711,-2.267251,1.954170,-1.847292,-1.822121,1.110545,-0.224543,0.270367,0.238849,-1.008781,-0.628417,0.399694,-0.642087,-1.504909,-0.514459
94,0.188000,1.933826,2983.287,2469.704,-28.963203,9.570086,-2.171662,2.335627,3.191252,-2.860135,-2.049016,1.454132,-1.894736,-1.011647,1.268748,-0.589843,0.298409,0.160742,-1.099273,-0.423565,0.393595,-0.669751,-1.174750,-0.376740
95,0.190000,1.902253,2877.875,2439.365,-29.090042,9.726764,-1.971943,2.004287,2.896539,-2.441548,-1.881604,0.869198,-1.975944,-0.233632,1.344086,-1.006023,0.237149,0.101556,-1.145995,-0.161889,0.400788,-0.729439,-0.862845,-0.240341
96,0.192000,1.871561,2801.644,2409.323,-29.408901,9.826384,-1.644719,1.647188,2.543468,-2.060289,-1.753199,0.284607,-2.071509,0.434228,1.327662,-1.424868,0.126934,0.078898,-1.185926,0.105256,0.437102,-0.782226,-0.613324,-0.110039
97,0.194000,1.842459,2750.916,2386.297,-29.847437,9.835014,-1.256894,1.337677,2.187311,-1.772421,-1.660636,-0.214279,-2.153750,0.945681,1.273712,-1.781626,-0.017140,0.111979,-1.203249,0.332047,0.489340,-0.790456,-0.456699,0.026210
98,0.196000,1.814544,2718.561,2375.795,-30.288845,9.732599,-0.917920,1.154943,1.920287,-1.642912,-1.618918,-0.522723,-2.187743,1.230420,1.240606,-1.975348,-0.193617,0.167563,-1.159436,0.504088,0.515683,-0.746630,-0.388561,0.175868
99,0.198000,1.786344,2697.401,2381.878,-30.636192,9.537262,-0.688785,1.157370,1.830903,-1.703186,-1.646893,-0.556080,-2.125214,1.229527,1.256984,-1.905975,-0.401771,0.158227,-1.023157,0.642639,0.446667,-0.690994,-0.352340,0.332828
